id,pn,name,googled,Eigentümer,Betreiber,unknonw,Dynastie,Quelle
,59c,Kinderautobahn,1,,möglicherweise: Tina Heindl-Jamina,FALSE,Heindl,Email auf: http://www.prater.at/Autofahrt/
,56b,Juice Bar,,Big One Company Handels GmbH; Stand: 2010,"Markus Fischer, Gerhard Drobits (KULT Gastro GmbH)",FALSE,,https://www.rauchjuicebar.cc/locations/
,56a,Coney Island - Games,1,,Elisabeth Brantusa,FALSE,Brantusa,https://firmen.wko.at/Web/DetailsKontakt.aspx?FirmaID=4a12a82b-8f9d-4357-b959-8d6257c31eec
,55b,Shooting Gallery Pra-ter-amun,,,Johann Dallinger (Johann Dallinger GmbH),FALSE,Dallinger,https://firmen.wko.at/Web/DetailsKontakt.aspx?FirmaID=1c8f6bec-ded7-45de-8941-3b437f41294e
,50c,Jolly Joker,1,,Moritz Philipp (BIG ONE COMPANY Handels GmbH),FALSE,,https://firmen.wko.at/Web/DetailsKontakt.aspx?FirmaID=e15e0d85-49ff-4db4-968d-2a84b8764d2b&StandortID=0&Suchbegriff=BIG+ONE+COMPANY+Handels+GmbH&Page=1
,49,Freifallturm,1,,,TRUE,,
,49,Minidrom,,,"Karin Koidl, Koidl Vergnügungsbetriebe GmbH",FALSE,Koidl,Firmenbuch; https://firmen.wko.at/Web/DetailsKontakt.aspx?FirmaID=d3dd0554-1581-4e04-8b82-4cc86a7336ec&StandortID=12&StandortName=Wien+2.+Bezirk+(Leopoldstadt)&Suchbegriff=koidl&Page=1
,49a,Kinderkarussell,1,,,TRUE,,
,49a,Rattenplage und Skee Ball,1,Elisabeth Brantusa; Stand: 2011,Elisabeth Brantusa,FALSE,Brantusa,https://firmen.wko.at/Web/DetailsKontakt.aspx?FirmaID=4a12a82b-8f9d-4357-b959-8d6257c31eec
,24,Tagada,1,,Thomas Sittler,FALSE,Sittler,https://firmen.wko.at/Web/DetailsKontakt.aspx?FirmaID=8f252fa0-c1d8-4fc6-b8fa-cc7e4cd4033f
,24,The Clown,1,,,TRUE,,
,20,Aquaball,1,,"Gerhild Kern, Ursula Waldmann (KERN & WALDMANN GmbH)",FALSE,Kern & Waldmann,https://firmen.wko.at/Web/DetailsKontakt.aspx?FirmaID=f78bb4a6-79f2-4a8b-b04d-c1db186a0abb
,20,Kinderturm Lollipop,1,,"Gerhild Kern, Ursula Waldmann (KERN & WALDMANN GmbH)",FALSE,Kern & Waldmann,https://firmen.wko.at/Web/DetailsKontakt.aspx?FirmaID=f78bb4a6-79f2-4a8b-b04d-c1db186a0abb
,19a,Topothek,1,,Ingrid Schredl,FALSE,Schredl,https://firmen.wko.at/Web/DetailsKontakt.aspx?FirmaID=ee86190e-1886-46c1-b6ba-7d116d7ca679
,22,Mecky Express,1,,Ingrid Schredl,FALSE,Schredl,https://firmen.wko.at/Web/DetailsKontakt.aspx?FirmaID=ee86190e-1886-46c1-b6ba-7d116d7ca679
,22,Wiener Derby Pferderennen,1,,Ingrid Schredl,FALSE,Schredl,https://firmen.wko.at/Web/DetailsKontakt.aspx?FirmaID=ee86190e-1886-46c1-b6ba-7d116d7ca679
,23,Western-Schießen,,,Katja Kolnhofer,FALSE,Kolnhofer,https://firmen.wko.at/Web/DetailsKontakt.aspx?FirmaID=a883c80a-e725-42ce-86ba-03e923342bb2
,200,Kettenkarussell Luftikus,,,"Michael Kny, Margarete Kny (AET Amusement Enterprise and Trading GmbH)",FALSE,Kny,https://firmen.wko.at/Web/DetailsKontakt.aspx?FirmaID=a0b65ce3-076f-474d-a656-b65c9739f676
,5,Cafe Luftikus,,,,TRUE,,
,3,Elite Autodrom,1,,"Gerhild Kern, Ursula Waldmann (KERN & WALDMANN GmbH)",FALSE,Kern & Waldmann,https://firmen.wko.at/Web/DetailsKontakt.aspx?FirmaID=f78bb4a6-79f2-4a8b-b04d-c1db186a0abb
,3,Wildalpenbahn,,,"Gerhild Kern, Ursula Waldmann (KERN & WALDMANN GmbH)",FALSE,Kern & Waldmann,https://firmen.wko.at/Web/DetailsKontakt.aspx?FirmaID=f78bb4a6-79f2-4a8b-b04d-c1db186a0abb
,4,Tornado,,,Walter Pondorfer (FUN Vergnügungsbetriebe GmbH),FALSE,Pondorfer,"https://firmen.wko.at/Web/DetailsKontakt.aspx?FirmaID=9e3bc3d9-e16b-4ed3-adbe-934fbf104beb , Firmenbuch"
,4,Gelateria,,,,TRUE,,
