id,pn,name,googled,Eigentümer,Betreiber,unknonw,Dynastie,Quelle
,32,Spiegelkabinett Exit 32,,Eva Sittler; Stand: 1999,"Karin Koidl, Koidl Vergnügungsbetriebe GmbH",FALSE,Koidl,Firmenbuch; https://firmen.wko.at/Web/DetailsKontakt.aspx?FirmaID=d3dd0554-1581-4e04-8b82-4cc86a7336ec&StandortID=12&StandortName=Wien+2.+Bezirk+(Leopoldstadt)&Suchbegriff=koidl&Page=1
,36,Gösser-Eck,1,,Soufian Tabib,FALSE,,https://firmen.wko.at/Web/DetailsKontakt.aspx?FirmaID=66518e86-19a2-44a1-81b9-7b0f827a6d6e
,37,Discovery Revolution,1,,Christian Steindl,FALSE,,https://firmen.wko.at/Web/DetailsKontakt.aspx?FirmaID=ef0f11f3-837b-4bfa-833b-db5a427d46d7
,70,Ejektion Seat,1,,,TRUE,,
,70,Ballwurfbude,,,Walter Pondorfer (FUN Vergnügungsbetriebe GmbH),FALSE,Pondorfer,"https://firmen.wko.at/Web/DetailsKontakt.aspx?FirmaID=9e3bc3d9-e16b-4ed3-adbe-934fbf104beb , Firmenbuch"
,70,Turbo Boost,,,,TRUE,,(duplikat?)
,71a,Geisterbahn zum Roten Adler,,,Vera Löbel,FALSE,Löbel,https://firmen.wko.at/Web/DetailsKontakt.aspx?FirmaID=7e6c4a84-07d2-4366-b244-57d4fc2008ab
,71a,Kinderparadies,,,Karin Jenko,FALSE,Jenko,https://firmen.wko.at/Web/DetailsKontakt.aspx?FirmaID=8159d1ca-5a2a-40fa-bd6f-28d420c10585
,71b,Prater Alm,,"Prateralm GmbH (via Alpenzauber GmbH: 50% Eva Beate Ansmann, 50% Peter Wahler); Stand: 2018","Prateralm GmbH (via Alpenzauber GmbH: 50% Eva Beate Ansmann, 50% Peter Wahler)",FALSE,,Firmenbuch / prater-alm.at
,83a,Toboggan,1,,Peter Konkolits,FALSE,Lindengrün,https://firmen.wko.at/Web/DetailsKontakt.aspx?FirmaID=e3e35ce0-fc1a-4ad6-a57a-00c24ef8fac5
,84,Sports Arena,1,,,TRUE,,
,86a,Monza Kinderautobahn,1,,,TRUE,,
,86a,Labor,1,,,TRUE,,
,86a,Kletterburg,1,,,TRUE,,
,86b,Kinderautobahn,,,Horst Lindengrün,FALSE,Lindengrün,https://firmen.wko.at/Web/DetailsKontakt.aspx?FirmaID=9f46a61c-c0d1-4dbf-9edb-b13c60ca8445
,86b,Zuckerwatte,1,,,TRUE,,
,80d,Riedl's Kinderkartbahn,,,Claudia Ilonka Riedl,FALSE,Riedl,https://firmen.wko.at/Web/DetailsKontakt.aspx?FirmaID=1bf58176-c533-4f62-8fad-6167c0beb30e
,80d,Funny Farm,1,,,TRUE,,
,80d,The Race,,,Claudia Ilonka Riedl,FALSE,Riedl,https://firmen.wko.at/Web/DetailsKontakt.aspx?FirmaID=1bf58176-c533-4f62-8fad-6167c0beb30e
,80c,Wiener Rösthaus,,,,TRUE,,
,80c,Vienna Coffee Collage,,,,TRUE,,
,80a,Original Wiener Praterkasperl,1,,Elisabeth Veit,FALSE,,https://firmen.wko.at/Web/DetailsKontakt.aspx?FirmaID=ab9c0087-bd82-4c04-99f9-932c21cef5b5
,82,Schlumpf City – Kinderflugbahn,,,Josef Popp,FALSE,Popp,http://www.ringelspiele.at
,82,Schlumpf City – Kinderkarussell,,,Josef Popp,FALSE,Popp,http://www.ringelspiele.at
,82,Schlumpf City – Autobergbahn,,,Josef Popp,FALSE,Popp,http://www.ringelspiele.at
,82,Schlumpf City – Schlumpfballspiel,,,Josef Popp,FALSE,Popp,http://www.ringelspiele.at
,83b,Schlumpf City – Schlumpf-Flieger,,,Josef Popp,FALSE,Popp,http://www.ringelspiele.at
,83b,Schlumpf City – Kinderautobahn,,,Josef Popp,FALSE,Popp,http://www.ringelspiele.at
,116,Schweizerhaus,,,"Karl Kolarik, Lydia Kolarik (Karl Kolarik's Schweizerhaus Gesellschaft m.b.H.)",FALSE,Kolarik,http://schweizerhaus.at/impressum.asp
,117b,Reitbahn,1,,,TRUE,,
,117b,Kindereisenbahn,1,,,TRUE,,
,117b,Donuts,1,,,TRUE,,
,75,Motorbootbahn,,,Josef Popp,FALSE,Popp,https://firmen.wko.at/Web/DetailsKontakt.aspx?FirmaID=ca1ff642-9df6-424c-aba2-44abeb308efa&StandortID=0&Suchbegriff=Josef+Popp&Page=1
,74,Kolariks Himmelreich,1,,Elisabeth Kolarik (Kolarik's Freizeitbetriebe GmbH),FALSE,Kolarik,https://firmen.wko.at/Web/DetailsKontakt.aspx?FirmaID=b278140e-b929-4e57-b014-1f3f89563d10
,72,Schlumf-City – Kindereisenbahn,,,Josef Popp,FALSE,Popp,http://www.ringelspiele.at
,72,Schlumf-City - Wurmbahn Willy,,,Josef Popp,FALSE,Popp,http://www.ringelspiele.at
,72,Schlumf-City – Free Willy Schaukel,,,Josef Popp,FALSE,Popp,http://www.ringelspiele.at
,150,MPQ Go Kart Bahn,1,,"Heidrun Padilla, Michael Padilla (PADILLA GMBH)",FALSE,,https://firmen.wko.at/Web/DetailsKontakt.aspx?FirmaID=44a7a902-b2e7-4946-ba56-4156da7e66be
,149,Würstelhütte,1,,Horst Lindengrün,FALSE,Lindengrün,https://firmen.wko.at/Web/DetailsKontakt.aspx?FirmaID=934494e7-4857-4168-bb4e-2bde6adb663c
,145,Mega Blitz,1,,"Peter Romeo Neufeld, Roland Maurice Neufeld (Neufeld Vergnügungsbetriebe GmbH)",FALSE,,https://firmen.wko.at/Web/DetailsKontakt.aspx?FirmaID=4f9d81d8-651d-47e9-b0a4-316bfa1d432a
,144,Große Geisterbahn,,,Hermann Molzer - Molzer's Praterunternehmen,FALSE,,https://firmen.wko.at/Web/DetailsKontakt.aspx?FirmaID=3335a1de-aec0-4c5b-9675-be19e7bd7072
,142,Ballwurfstand,1,,,TRUE,,
