gkz,name,nur Caritas?,Kategorie,Kinder insgesamt,Jänner: Kinder in Nachmittagsbetreuung,März: Kinder in Nachmittagsbetreuung,Differenz,Prozentuelle Änderung,Karte-Text,Telefonnummer
41818,Schleißheim,Nein,Alles da,79,53,36,-17,-32.0754717,,+437242 / 42 4 20 - 0
40418,Lengau,Nein,Alles da,160,51,36,-15,-29.41176471,Grund war hauptsächlich Kostenpflichtigkeit.,+437746 / 2202
40703,Bad Ischl,Nein,Alles da,330,58,43,-15,-25.86206897,Kinder ingesamt sind eine Schätzung des Gemeindemitarbeiters.,+436132 / 301 - 0
40805,Gallspach,Nein,Alles da,100,40,25,-15,-37.5,,+437248 / 62 3 55 - 0
41514,Sankt Ulrich bei Steyr,Nein,Alles da,96,35,20,-15,-42.85714286,"2 Kindergärten: einer in Kleinraming, der andere in Sankt Ulrich bei Steyr. In Kleinraming waren 12 Kinder in der Nachmittagsbetreuung, dann wären es nur mehr 3-4 gewesen und die NB wurde eingestellt, in Sankt Ulrich waren es nur 3 Abmeldungen ca",+437252 / 53 3 03 - 0
41606,Feldkirchen an der Donau,Nein,Alles da,210,115,100,-15,-13.04347826,,+437233 / 7255 - 0
41614,Lichtenberg,Nein,Alles da,85,56,41,-15,-26.78571429,,+437239 / 6708
40713,Ohlsdorf,Ja,Alles da,n.v.,56,42,-14,-25,,+437612 / 47 2 55 - 0
40905,Kirchdorf an der Krems,Nein,Alles da,131,52,38,-14,-26.92307692,Abmeldungen wegen der Gebühren,+437582 / 62 2 38
41337,Sankt Veit im Mühlkreis,Nein,Alles da,55,37,23,-14,-37.83783784,,+437217 / 6055
41403,Brunnenthal,Nein,Alles da,70,32,18,-14,-43.75,,+437712 / 3055
41617,Ottensheim,Nein,Alles da,168,102,88,-14,-13.7254902,,+437234 / 82 2 55
40917,Schlierbach,Nein,Alles da,63,26,13,-13,-50,,+437582 / 81 2 55
41746,Vöcklabruck,Nein,Alles da,335,81,68,-13,-16.04938272,,+437672 / 760 - 0
41732,Rüstorf,Ja,Alles da,64,24,12,-12,-50,,+437673 / 2455
40441,Schalchen,Nein,Alles da,110,42,30,-12,-28.57142857,Abmeldung wegen Kosten,+437742 / 2555
40902,Grünburg,Nein,Alles da,109,34,22,-12,-35.29411765,,+437257 / 7255
41110,Luftenberg an der Donau,Nein,Alles da,141,72,60,-12,-16.66666667,,+437237 / 2231
41123,Saxen,Nein,Alles da,56,20,8,-12,-60,"2-4 Kinder täglich, nur Donnerstags 8. Für das aktuelle Schuljahr noch sichergestellt, unklar wie es im Herbst weitergeht.",+437269 / 355
41214,Mehrnbach,Nein,Alles da,64,29,17,-12,-41.37931034,,+437752 / 82 2 03 - 0
41430,Zell an der Pram,Nein,Alles da,65,24,12,-12,-50,Kinder gesamt variieren zwischen 60 und 70,+437764 / 83 55
